nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota
TOKIO COFFEE LAB.,4.5,86,Coffee shop,-5.1417667,119.4960988,"Jalan Perintis Kemerdekaan, Perdos Unhas Tamalanrea, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
Marasa Coffee Stand Makassar,4.8,36,Coffee shop,-5.132975,119.479468,"Graha Kampus, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
D'Juries coffee & Roastery,4.1,345,Cafe,-5.1316622,119.5004123,"Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
KEDAI BUJANG,4.6,662,Cafe,-5.1398114,119.4878113,"Jalan Politeknik, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
UTTON - Perintis,4.5,75,Coffee shop,-5.141319,119.4867587,"Jalan Perintis Kemerdekaan, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
Kopi Boegiz Perdos,4.5,185,Coffee shop,-5.1414662,119.4958185,"ALFAMART, Jalan Perintis Kemerdekaan VIII, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
Zefou Coffee,4.4,333,Cafe,-5.1375584,119.5150059,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
TONGKONAN COFFEE,4.8,126,Coffee shop,-5.1399228,119.5147822,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Ardan Masogi Coffeeshop,4.2,1129,Coffee shop,-5.134498,119.497053,"Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Bento Kopi Makassar,4.5,308,Coffee shop,-5.1350507,119.4974004,"Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Koppi Makassar,4.7,140,Coffee shop,-5.123484,119.5075127,"Jalan Perintis Kemerdekaan, Bontoramba, Berua, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Berua,Biringkanaya,Makassar
Warkop Klabers,4.1,162,Coffee shop,-5.1430567,119.4751106,"Suzuki, Puri Asri Raya, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Point Coffee,4.5,48,Coffee shop,-5.1278935,119.4999398,"SMS FINANCE, Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Kopi'ngumpul,4.7,50,Coffee shop,-5.1346268,119.4790314,"Jalan Blok C14, BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Zero Cafe,4.5,699,Coffee shop,-5.1397291,119.4878206,"Wisma Perintis Syariah, Jalan Politeknik, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Alternative Coffe & Space,4.5,66,Cafe,-5.1342035,119.4801736,"BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Djoempa coffee makassar,4.8,26,Cafe,-5.1348379,119.4802455,"BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Kara Coffee & Artisan Tea,4.6,212,Cafe,-5.131194,119.5007181,"Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Cafe Halaman,4.5,81,Coffee shop,-5.1375945,119.515451,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Kedai Kopi Teko,4.4,106,Coffee shop,-5.1321585,119.4991096,"Imperial Photo, Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
NEW ZIDAN CAFE,4.5,247,Coffee shop,-5.1326115,119.502942,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Kopi Nova,5.0,13,Coffee shop,-5.1413632,119.4871793,"Jalan Bung, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
GARASI BINCANG COFFEE,5.0,21,Cafe,-5.1364243,119.5113105,"Jalan Kesejahteraan Selatan XIII, Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Kedai Kopi Tea Makassar,4.4,54,Coffee shop,-5.1364474,119.5079703,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Kopi Konoha Cab.BTP,4.4,63,Coffee shop,-5.1402408,119.5244369,"Jalan Poros Batas Kota Makassar - Pamanjengan - Benteng Gajah, Bumi Tamalanrea Permai, Katimbang, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Katimbang,Biringkanaya,Makassar
Lepongan Bulan Toraja Coffee,4.8,12,Coffee shop,-5.1382914,119.5173441,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
KopiTau,4.9,15,Coffee shop,-5.1387062,119.4878179,"Cafe Danau, Lorong 2, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Sunday coffee makassar,4.8,21,Cafe,-5.1262648,119.4885304,"Jalan Sahabat Raya, Damai Sahabat Sejati, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Kandora Coffee,4.8,20,Coffee store,-5.0936909,119.4827927,"Cluster Alamanda, Bira, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90243, Indonesia",Bira,Tamalanrea,Makassar
Om Ammank Coffee Shop,4.4,48,Coffee shop,-5.1419011,119.4872933,"Jalan Bung Lorong 1, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
Kopi Kenangan - Ruko Perintis Makassar km 10,3.6,169,Coffee shop,-5.1389519,119.4933735,"TOKO ZAZIL BAKERY, Jalan Perintis Kemerdekaan, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
EWR Cafe,4.4,299,Cafe,-5.1274522,119.5019116,"NDORO CAFE, Jalan Bontoramba, Bontoramba, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Ganti nama coffe,4.3,34,Coffee shop,-5.1373639,119.4855099,"Jalan Politeknik, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
ESTEH INDONESIA TAMALANREA,4.4,18,Coffee shop,-5.1217182,119.507994,"Kantor Imigrasi Makassar, km13, Jalan Biring Romang, Biring Romang, Kapasa, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90243, Indonesia",Kapasa,Tamalanrea,Makassar
Sometimes,5.0,17,Coffee shop,-5.1384721,119.4832874,"Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
FIGOR CAFE BTP Makassar,4.7,10,Coffee shop,-5.1312831,119.5009122,"Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Coffee Tentang Kita,5.0,4,Coffee shop,-5.1360484,119.5177612,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Kopi Ogud Perintis,4.5,50,Coffee shop,-5.1406671,119.4825368,"Parkiran STIMIK Dipanegara, Jalan Perintis Kemerdekaan, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Kedai Kopi MaKo,4.9,9,Coffee shop,-5.1406242,119.5076342,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
EXCELZA COFFEE SHOP,4.3,419,Coffee shop,-5.1235586,119.5067594,"Jalan Perintis Kemerdekaan, Biring Romang, Kapasa, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Kapasa,Tamalanrea,Makassar
Daeng Toro' Kopi,4.6,22,Coffee shop,-5.1384486,119.518357,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Kopi Puji,4.6,23,Restaurant,-5.1372102,119.5102912,"CafeOrange, Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
TIBER COFFEE,4.3,68,Coffee shop,-5.1278056,119.5003052,"apotik k24 perintis, Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Cerita teman lama coffeshop,5.0,11,Coffee shop,-5.1354393,119.5171698,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Adiva Cafe,4.5,296,Restaurant,-5.1343893,119.5054,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
OTO KOPI,5.0,27,Coffee shop,-5.1354032,119.4971296,"Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Warkop Daeng Sija BTP,4.2,181,Coffee shop,-5.1321954,119.4990426,"Warkop Dg. Sija, Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Kopiteori Perintis,4.5,357,Coffee shop,-5.1217207,119.5086887,"Jalan Perintis Kemerdekaan, Bontoramba, Berua, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Berua,Biringkanaya,Makassar
Bossman Coffee Indonesia,4.5,18,Coffee shop,-5.1321435,119.5003821,"PEGADAIAN CAB.TAMALANREA, Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Obladi Cafe,4.7,223,Cafe,-5.1383624,119.4844914,"Jalan Perintis Kemerdekaan 7, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Halu Kopi Indonesia,4.6,18,Coffee shop,-5.1366181,119.5173579,"Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
KOPITARIAN,5.0,7,Coffee shop,-5.1398022,119.4779894,"Jalan Perintis Kemerdekaan 3, BTN Hamzy, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Social.Story,4.6,38,Coffee shop,-5.1451449,119.4896596,"Jalan Perintis Kemerdekaan IV, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
KOPI MAMORU,4.9,12,Coffee shop,-5.1288992,119.4989227,"BINTANG PERINTIS, Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
KOPI KOMANDO,4.9,12,Coffee shop,-5.1365913,119.4985951,"Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Lounge Coffee,5.0,6,Coffee shop,-5.1415649,119.4862851,"Jalan Perintis Kemerdekaan, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
MOOVS from Tastea - Perintis 1,4.7,231,Coffee shop,-5.1412232,119.4869624,"Jalan Perintis Kemerdekaan, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
kopikan.,4.8,19,Cafe,-5.1430731,119.4743558,"Yuscorp Bisnis Indonesia, AE 5, Puri Asri Raya, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90245, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
KOPIGO - Gerobak Tamalanrea,5.0,1,Coffee stand,-5.1326494,119.4982216,"ZOGO, Jalan Perintis Kemerdekaan 10, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Koun Kopi,4.9,12,Cafe,-5.1325255,119.5007966,"Jalan Tamalanrea Selatan I, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Sans Coffee Tamalanrea,5.0,4,Coffee shop,-5.138251,119.5170705,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Daur Baur - Kopi dan Eco-Store,4.6,20,Coffee shop,-5.1347733,119.4789776,"Jalan Blok C14, BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
BONANNO COFFE,4.6,31,Art cafe,-5.1364339,119.4847436,"Jalan Politeknik, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Point Coffee,4.1,23,Coffee shop,-5.1372699,119.5123146,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Login Kopi,4.6,18,Coffee shop,-5.139536,119.50837,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
KOPI Piiiii,4.7,13,Breakfast,-5.1371481,119.5147606,"Jalan Kemuliaan, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Maroa Kopi dan Tembakau,5.0,14,Coffee shop,-5.1391542,119.4844146,"Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Kedai Kopi Kalu Perintis,5.0,6,Coffee shop,-5.1270212,119.5012317,"BFI FINANCE, Jalan Poros Tamalanrea Indah, Nusa Tamalanrea Indah (NTI), Kapasa, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Kapasa,Tamalanrea,Makassar
PREN KOPI,4.5,259,Coffee shop,-5.1187238,119.5101952,"Jalan Perintis Kemerdekaan, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Daya,Biringkanaya,Makassar
Kopi Kenangan - SPBU Pertamina (Perintis Makassar),4.4,539,Coffee shop,-5.0953554,119.5115381,"SPBU 71.902.77, Jalan Perintis Kemerdekaan, Pai, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Pai,Biringkanaya,Makassar
Base Coffee,4.5,333,Cafe,-5.1306085,119.4981825,"Hotel Grand Puri Perintis, Jalan Perintis Kemerdekaan, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Rumah Kopi Hitam Putih,4.4,111,Cafe,-5.1398127,119.4781895,"Jalan Perintis Kemerdekaan 3, BTN Hamzy, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Warkop Q-Ta,4.6,72,Coffee shop,-5.1312351,119.4985429,"Jalan Perintis Kemerdekaan, Bontoramba, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
TEMU KOPI PERINTIS (takeaway only),4.3,6,Coffee shop,-5.1324715,119.4983702,"Duta Irama, Jalan Perintis Kemerdekaan 10, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Kopi Temu Sahabat,5.0,2,Coffee shop,-5.1422941,119.4805465,"Komplek Hartako Permai, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
KAIA Coffee Roastery - Tempat Kopi / Toko Kopi,5.0,9,Coffee store,-5.1348405,119.4802565,"BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Kedai Kopi Orange,4.3,56,Coffee shop,-5.1349568,119.4952113,"Public Safety Centre 119 Makassar, Jalan Perintis Kemerdekaan, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Kedai Kopi PSC,4.4,59,Coffee shop,-5.134964,119.4952161,"Public Safety Centre 119 Makassar, Jalan Perintis Kemerdekaan, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
TITIK NOL,4.6,292,Cafe,-5.1350545,119.4849241,"Jalan Politeknik, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Halu Kopi Indonesia,4.7,11,Coffee shop,-5.141022,119.4865164,"Jalan Perintis Kemerdekaan, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
kopiapi coffee roaster 3.0 manggala junction,4.6,175,Espresso bar,-5.0945442,119.5121319,"SPBU 71.902.77, Jalan Perintis Kemerdekaan, Pai, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Pai,Biringkanaya,Makassar
Kopi nafii,5.0,6,Coffee shop,-5.129179,119.498859,"Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Tastea Office,4.9,35,Coffee shop,-5.1398402,119.5147481,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
Warung Kopi 257 BTP,4.1,40,Coffee shop,-5.1379394,119.5162987,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
The Triple S Coffee,5.0,3,Coffee shop,-5.1384576,119.4875292,"Cafe Danau, Lorong 2, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Jual Kopi Bubuk Kopi Kalosi Enrekang Makassar Marasa Coffee,5.0,28,Coffee shop,-5.1382669,119.5149845,"Jalan Kesenangan 19, Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
WAKTU LUANG KOPI,4.5,46,Cafe,-5.1347373,119.5065519,"Jalan Kebahagiaan Utara, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
RK RUMAH KOPI,4.7,38,Cafe,-5.1417981,119.4871471,"Jalan Bung Lorong 2, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar
Kopi Ruang Hati Perintis Makassar,4.6,5,Cafe,-5.1222332,119.5078268,"Jalan Perintis Kemerdekaan, Biring Romang, Kapasa, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Kapasa,Tamalanrea,Makassar
Kopi Tuan Indonesia,5.0,6,Coffee shop,-5.134871,119.504794,"Jalan Kejayaan Utara 2, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar
Teaster perintis,3.9,37,Coffee shop,-5.139969,119.4876896,"Kedai Bujang, Jalan Politeknik, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90245, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
KOPI CREMANTIC,5.0,6,Cafe,-5.1391384,119.5103571,"Jalan Kedamaian Selatan II, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
cafe tamalanrea,0.0,0,Coffee shop,-5.1431053,119.4743748,"Yuscorp Bisnis Indonesia, AE 5, Puri Asri Raya, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90245, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar
Senandung Kopi,5.0,2,Coffee shop,-5.1382967,119.5179708,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar
EsKopi Daeng Tata Raya,4.9,105,Coffee shop,-5.1814812,119.4181503,"Jalan Daeng Tata, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Bonto Duri,Tamalate,Makassar
Kopi Padu Rasa - Tamalate,4.8,6,Coffee shop,-5.172813,119.445438,"Jalan Tamalate Raya, Perumnas Tamalate, Mappala, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Mappala,Rappocini,Makassar
ADAPADA KEDAI,4.6,510,Coffee shop,-5.1701328,119.4237701,"Pabbaeng-Baeng, Pa'baeng-Baeng, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Pa'baeng-Baeng,Tamalate,Makassar
Kampoeng Kopi,4.9,29,Coffee shop,-5.1804224,119.4164619,"Jalan Abdul Kadir, Bonto Tannga, Balang Baru, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Balang Baru,Tamalate,Makassar
Mooka Kopi Mannuruki,4.9,8,Coffee shop,-5.176009,119.429291,"Sop Ubi Aliyah, Jalan Mannuruki Raya, Bonto Maeoʼ, Mannuruki, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Mannuruki,Tamalate,Makassar
MOOVS from Tastea - Tamalate,4.6,67,Coffee shop,-5.1684774,119.4468312,"Jalan Tamalate Raya, Panakkukang Permai, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar
Komar. – Tamalate,3.7,39,Coffee shop,-5.1704168,119.4461168,"Jalan Tamalate 2, Perumnas Tamalate, Mappala, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Mappala,Rappocini,Makassar
WARKOP TIME Coffee Shop and Food,4.9,50,Coffee shop,-5.1872171,119.4285851,"Universitas Negeri Makassar Parang Tambung, BTN Tabaria Blok G7-G8, Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Bonto Duri,Tamalate,Makassar
Daun Coffee,4.4,1628,Coffee shop,-5.1834168,119.4222032,"Jalan Permata Mutiara Raya, Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Bonto Duri,Tamalate,Makassar
Mocoffe,4.5,17,Coffee shop,-5.1875708,119.4323289,"Zchar I, Bonto Manaik, Mangasa, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Mangasa,Tamalate,Makassar
Coffee PapsQ Mallengkeri,4.6,249,Coffee shop,-5.1870748,119.4316902,"Jalan Mallengkeri, Bonto Manaik, Mangasa, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",Mangasa,Tamalate,Makassar
Kopi Noka Tamalate,2.3,13,Coffee shop,-5.1687517,119.4464668,"Jalan Monumen Emmy Saelan, Perumnas Tamalate, Bonto Teʼne, Bonto Makkio, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Bonto Makkio,Rappocini,Makassar
