,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
18,Kaganga Coffee - Boungenville,4.7,330,Coffee shop,-5.1584012,119.4448269,"Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar,4.6424342653927955
562,Kedai Lawas,4.7,321,Coffee shop,-5.1394868,119.4078935,"Jalan Ranggong, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Bulogading,Ujung Pandang,Makassar,4.641222199360434
561,Dari Kopi Daeng Tompo,4.7,317,Coffee shop,-5.1430498,119.4096058,"Fave Hotel Losari, Jalan Dg. Tompo, Maloku, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Maloku,Ujung Pandang,Makassar,4.640666965076487
105,Kopi Break,4.8,118,Cafe,-5.1702429,119.4369989,"Jalan Raya Pendidikan, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Tidung,Rappocini,Makassar,4.640634556475082
94,SIJA PETTARANI,4.8,118,Cafe,-5.1467249,119.4393314,"Jl. Andi Pangeran Pettarani 3, Tamamaung, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Tamamaung,Panakkukang,Makassar,4.640634556475082
1050,ARNUM Warung Kopi,4.7,308,Coffee shop,-5.1562167,119.4210161,"Jalan Tupai, Mandala, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Mandala,Mamajang,Makassar,4.639378501552657
588,Kedai Kopi Ko' Beng X Naa-Gih,4.8,115,Coffee shop,-5.1472472,119.410884,"Jalan Lamadukelleng, Losari, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Losari,Ujung Pandang,Makassar,4.6384755723112
840,ATM Coffee,4.7,298,Coffee shop,-5.1008031,119.5121938,"Pai, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Pai,Biringkanaya,Makassar,4.637879620549643
570,Roemah Lamdoek,4.7,284,Coffee shop,-5.1429032,119.4107276,"Jalan Lamadukelleng, Maloku, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Maloku,Ujung Pandang,Makassar,4.63565219997238
103,Tamamito Coffee,4.9,68,Coffee shop,-5.1793896,119.4614204,"Jalan Minasa Upa Raya, BTN Minasa Upa, Minasa Upa, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Minasa Upa,Rappocini,Makassar,4.633937477621391
854,Drock Coffee,5.0,49,Store,-5.1179254,119.5204273,"Jalan Paccerakkang, Balang Turungang, Berua, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90242, Indonesia",Berua,Biringkanaya,Makassar,4.632939131665658
